267236.13963039016;   1.3419321209795498e-08;   267236.13963039016;   -1.865883558771486e-08;   267236.13963039016;   5.239514599963968e-09;   
356314.8528405202;   1.351833001095315e-08;   356314.8528405202;   -1.8346818730918812e-08;   356314.8528405202;   4.828488497921057e-09;   
445393.56605065026;   1.3602851067773258e-08;   445393.56605065026;   -1.8015331670895307e-08;   445393.56605065026;   4.412480159032839e-09;   
534472.2792607803;   1.3672397214392618e-08;   534472.2792607803;   -1.766456447782616e-08;   534472.2792607803;   3.992166819344334e-09;   
623550.9924709103;   1.3726514591638761e-08;   623550.9924709103;   -1.7294746079699053e-08;   623550.9924709103;   3.568231043971082e-09;   
712629.7056810404;   1.37647528930529e-08;   712629.7056810404;   -1.6906082311862747e-08;   712629.7056810404;   3.141329640854451e-09;   
801708.4188911705;   1.3786686903216605e-08;   801708.4188911705;   -1.6498871824310868e-08;   801708.4188911705;   2.7121853651834726e-09;   
890787.1321013005;   1.3791913611171935e-08;   890787.1321013005;   -1.607340105458377e-08;   890787.1321013005;   2.2814878875010436e-09;   
979865.8453114305;   1.3780067087409975e-08;   979865.8453114305;   -1.563005325166955e-08;   979865.8453114305;   1.849986164259576e-09;   
1068944.5585215606;   1.3750778071752734e-08;   1068944.5585215606;   -1.5169181022400835e-08;   1068944.5585215606;   1.418402950648101e-09;   
1158023.2717316907;   1.3703749246474217e-08;   1158023.2717316907;   -1.4691216465578805e-08;   1158023.2717316907;   9.874669970599825e-10;   
1247101.9849418206;   1.3638662199610962e-08;   1247101.9849418206;   -1.4196588127290966e-08;   1247101.9849418206;   5.57926149724608e-10;   
1336180.6981519507;   1.3555257361019812e-08;   1336180.6981519507;   -1.3685797828344448e-08;   1336180.6981519507;   1.305409114138456e-10;   
1425259.4113620808;   1.3453282043940362e-08;   1425259.4113620808;   -1.3159333178691668e-08;   1425259.4113620808;   -2.939484211594845e-10;   
