3.0;   1.6062617916035488e-06;   
4.0;   1.6059045119005173e-06;   
5.0;   1.6055439235513093e-06;   
6.0;   1.6051808002842375e-06;   
6.999999999999999;   1.6048159343749096e-06;   
8.0;   1.6044501383655928e-06;   
9.0;   1.6040842484730908e-06;   
10.0;   1.6037190997558466e-06;   
11.0;   1.6033555556313042e-06;   
12.0;   1.6029944772391188e-06;   
13.0;   1.6026367489538417e-06;   
13.999999999999998;   1.6022832559177122e-06;   
15.0;   1.6019348800024805e-06;   
16.0;   1.6015925060242361e-06;   
