267236.13963039016;   8.162210758975369e-07;   267236.13963039016;   1.4812863508593835e-06;   267236.13963039016;   1.4366397050389801e-06;   
356314.8528405202;   8.152259794324706e-07;   356314.8528405202;   1.4716186279819102e-06;   356314.8528405202;   1.447191932724161e-06;   
445393.56605065026;   8.149663518483041e-07;   445393.56605065026;   1.4616612285667617e-06;   445393.56605065026;   1.4574793016951938e-06;   
534472.2792607803;   8.154428114365188e-07;   534472.2792607803;   1.4514204776551769e-06;   534472.2792607803;   1.4674951892451565e-06;   
623550.9924709103;   8.166530399628025e-07;   623550.9924709103;   1.4409029738198317e-06;   623550.9924709103;   1.4772332851559436e-06;   
712629.7056810404;   8.1859182448665e-07;   712629.7056810404;   1.4301156509560021e-06;   712629.7056810404;   1.4866874926642331e-06;   
801708.4188911705;   8.212510571396453e-07;   801708.4188911705;   1.4190656923189436e-06;   801708.4188911705;   1.495851966699072e-06;   
890787.1321013005;   8.246199418725727e-07;   890787.1321013005;   1.4077606579219134e-06;   890787.1321013005;   1.5047211300117786e-06;   
979865.8453114305;   8.286850491961577e-07;   979865.8453114305;   1.3962083889116652e-06;   979865.8453114305;   1.5132895918385984e-06;   
1068944.5585215606;   8.33430567281402e-07;   1068944.5585215606;   1.3844170972487724e-06;   1068944.5585215606;   1.5215522780062198e-06;   
1158023.2717316907;   8.388384528606988e-07;   1158023.2717316907;   1.3723953100856186e-06;   1158023.2717316907;   1.5295042324150074e-06;   
1247101.9849418206;   8.448886473971812e-07;   1247101.9849418206;   1.360151919769081e-06;   1247101.9849418206;   1.5371407756459146e-06;   
1336180.6981519507;   8.515593359798853e-07;   1336180.6981519507;   1.3476961849722695e-06;   1336180.6981519507;   1.5444574516241122e-06;   
1425259.4113620808;   8.588271611675952e-07;   1425259.4113620808;   1.335037724378168e-06;   1425259.4113620808;   1.551450001033006e-06;   
