267236.13963039016;   1.6981695509570138e-06;   267236.13963039016;   1.7165607328235084e-06;   267236.13963039016;   3.2396970089991743e-06;   
356314.8528405202;   1.7249129241985207e-06;   356314.8528405202;   1.6788337222510176e-06;   356314.8528405202;   3.2384485319826655e-06;   
445393.56605065026;   1.7526658479619764e-06;   445393.56605065026;   1.6413816926127012e-06;   445393.56605065026;   3.2369332437018607e-06;   
534472.2792607803;   1.781326494993293e-06;   534472.2792607803;   1.6042701016140441e-06;   534472.2792607803;   3.2351456361218403e-06;   
623550.9924709103;   1.8107974550705217e-06;   623550.9924709103;   1.5675693882173361e-06;   623550.9924709103;   3.2330806079402808e-06;   
712629.7056810404;   1.8409859050828113e-06;   712629.7056810404;   1.5313553562312719e-06;   712629.7056810404;   3.230733452823071e-06;   
801708.4188911705;   1.8718038518192845e-06;   801708.4188911705;   1.4957094910275408e-06;   801708.4188911705;   3.228099942106139e-06;   
890787.1321013005;   1.9031681702857004e-06;   890787.1321013005;   1.4607192845823878e-06;   890787.1321013005;   3.22517616073312e-06;   
979865.8453114305;   1.935000552405978e-06;   979865.8453114305;   1.4264785046432393e-06;   979865.8453114305;   3.221958596887718e-06;   
1068944.5585215606;   1.967227391670269e-06;   1068944.5585215606;   1.3930873699766869e-06;   1068944.5585215606;   3.2184439760813065e-06;   
1158023.2717316907;   1.999779732745591e-06;   1158023.2717316907;   1.3606526554799444e-06;   1158023.2717316907;   3.2146293145459622e-06;   
1247101.9849418206;   2.0325929659471684e-06;   1247101.9849418206;   1.3292876193656258e-06;   1247101.9849418206;   3.2105117829053005e-06;   
1336180.6981519507;   2.065606671902033e-06;   1336180.6981519507;   1.2991117975176145e-06;   1336180.6981519507;   3.206088757098038e-06;   
1425259.4113620808;   2.0987643952287877e-06;   1425259.4113620808;   1.2702504626687692e-06;   1425259.4113620808;   3.2013576118885677e-06;   
